entry,at,order
"The player ""KY @ IWYeFfhEu_"" quits the game with a stack of 280.61.",2025-02-18T11:06:02.496Z,173987676249600
"The player ""rondog @ UjXI8JaXcs"" stand up with the stack of 262.91.",2025-02-18T11:05:04.208Z,173987670420800
"""rondog @ UjXI8JaXcs"" shows a 5♣.",2025-02-18T11:05:01.988Z,173987670198800
"-- ending hand #199 --",2025-02-18T11:05:00.595Z,173987670059502
"""KY @ IWYeFfhEu_"" collected 120.00 from pot",2025-02-18T11:05:00.595Z,173987670059501
"Uncalled bet of 120.00 returned to ""KY @ IWYeFfhEu_""",2025-02-18T11:05:00.595Z,173987670059500
"""Eddy @ yNLyma14Bn"" folds",2025-02-18T11:04:59.776Z,173987669977600
"""Que @ GRZ2bZkObS"" folds",2025-02-18T11:04:34.700Z,173987667470000
"""KY @ IWYeFfhEu_"" bets 120.00",2025-02-18T11:04:27.645Z,173987666764500
"""Eddy @ yNLyma14Bn"" checks",2025-02-18T11:04:21.374Z,173987666137400
"River: J♥, 7♠, A♥, 5♠ [2♣]",2025-02-18T11:04:19.123Z,173987665912300
"""Que @ GRZ2bZkObS"" calls 20.00",2025-02-18T11:04:18.273Z,173987665827300
"""rondog @ UjXI8JaXcs"" folds",2025-02-18T11:04:17.219Z,173987665721900
"""danyo @ PzfvjptKMt"" folds",2025-02-18T11:04:15.572Z,173987665557200
"""jin @ Uk6-7jEsDG"" folds",2025-02-18T11:04:13.035Z,173987665303500
"""KY @ IWYeFfhEu_"" calls 20.00",2025-02-18T11:04:06.905Z,173987664690500
"""Eddy @ yNLyma14Bn"" bets 20.00",2025-02-18T11:04:03.954Z,173987664395400
"Turn: J♥, 7♠, A♥ [5♠]",2025-02-18T11:03:59.880Z,173987663988000
"""Que @ GRZ2bZkObS"" checks",2025-02-18T11:03:59.032Z,173987663903200
"""rondog @ UjXI8JaXcs"" checks",2025-02-18T11:03:56.852Z,173987663685200
"""danyo @ PzfvjptKMt"" checks",2025-02-18T11:03:55.450Z,173987663545000
"""jin @ Uk6-7jEsDG"" checks",2025-02-18T11:03:54.504Z,173987663450400
"""KY @ IWYeFfhEu_"" checks",2025-02-18T11:03:52.810Z,173987663281000
"""Eddy @ yNLyma14Bn"" checks",2025-02-18T11:03:50.203Z,173987663020300
"Flop:  [J♥, 7♠, A♥]",2025-02-18T11:03:46.862Z,173987662686200
"""KY @ IWYeFfhEu_"" calls 10.00",2025-02-18T11:03:46.020Z,173987662602000
"""Eddy @ yNLyma14Bn"" calls 10.00",2025-02-18T11:03:42.627Z,173987662262700
"""Que @ GRZ2bZkObS"" calls 10.00",2025-02-18T11:03:41.713Z,173987662171300
"""rondog @ UjXI8JaXcs"" calls 10.00",2025-02-18T11:03:40.756Z,173987662075600
"""danyo @ PzfvjptKMt"" calls 10.00",2025-02-18T11:03:39.824Z,173987661982400
"The admin ""danyo @ PzfvjptKMt"" enqueued the game stop on next hand.",2025-02-18T11:03:38.660Z,173987661866000
"""jin @ Uk6-7jEsDG"" raises to 10.00",2025-02-18T11:03:36.624Z,173987661662400
"""KY @ IWYeFfhEu_"" posts a big blind of 0.50",2025-02-18T11:03:31.480Z,173987661148009
"""Eddy @ yNLyma14Bn"" posts a small blind of 0.25",2025-02-18T11:03:31.480Z,173987661148008
"Your hand is 5♣, 6♠",2025-02-18T11:03:31.480Z,173987661148003
"Player stacks: #1 ""danyo @ PzfvjptKMt"" (614.21) | #4 ""rondog @ UjXI8JaXcs"" (272.91) | #5 ""Que @ GRZ2bZkObS"" (472.68) | #7 ""Eddy @ yNLyma14Bn"" (1015.27) | #8 ""KY @ IWYeFfhEu_"" (190.61) | #10 ""jin @ Uk6-7jEsDG"" (1904.52)",2025-02-18T11:03:31.480Z,173987661148001
"-- starting hand #199 (id: w1u2euicr2lz)  (No Limit Texas Hold'em) (dealer: ""Que @ GRZ2bZkObS"") --",2025-02-18T11:03:31.480Z,173987661148000
"Undealt cards: J♦, J♣, 8♥, 3♠ [9♣]",2025-02-18T11:03:28.616Z,173987660861600
"-- ending hand #198 --",2025-02-18T11:03:25.563Z,173987660556302
"""KY @ IWYeFfhEu_"" collected 17.49 from pot",2025-02-18T11:03:25.563Z,173987660556301
"Uncalled bet of 8.74 returned to ""KY @ IWYeFfhEu_""",2025-02-18T11:03:25.563Z,173987660556300
"""Que @ GRZ2bZkObS"" folds",2025-02-18T11:03:24.759Z,173987660475900
"""KY @ IWYeFfhEu_"" bets 8.74",2025-02-18T11:03:23.225Z,173987660322500
"""Que @ GRZ2bZkObS"" checks",2025-02-18T11:03:19.033Z,173987659903300
"Turn: J♦, J♣, 8♥ [3♠]",2025-02-18T11:03:17.554Z,173987659755400
"""Que @ GRZ2bZkObS"" calls 4.37",2025-02-18T11:03:16.697Z,173987659669700
"""jin @ Uk6-7jEsDG"" folds",2025-02-18T11:03:12.975Z,173987659297500
"""KY @ IWYeFfhEu_"" bets 4.37",2025-02-18T11:03:11.760Z,173987659176000
"""Que @ GRZ2bZkObS"" checks",2025-02-18T11:03:07.410Z,173987658741000
"Flop:  [J♦, J♣, 8♥]",2025-02-18T11:03:00.696Z,173987658069600
"""Eddy @ yNLyma14Bn"" folds",2025-02-18T11:02:59.858Z,173987657985800
"""Que @ GRZ2bZkObS"" calls 2.75",2025-02-18T11:02:58.913Z,173987657891300
"""rondog @ UjXI8JaXcs"" folds",2025-02-18T11:02:57.900Z,173987657790000
"""danyo @ PzfvjptKMt"" folds",2025-02-18T11:02:55.362Z,173987657536200
"""jin @ Uk6-7jEsDG"" calls 2.75",2025-02-18T11:02:48.743Z,173987656874300
"""KY @ IWYeFfhEu_"" raises to 2.75",2025-02-18T11:02:42.300Z,173987656230000
"""Eddy @ yNLyma14Bn"" posts a big blind of 0.50",2025-02-18T11:02:29.639Z,173987654963909
"""Que @ GRZ2bZkObS"" posts a small blind of 0.25",2025-02-18T11:02:29.639Z,173987654963908
"Your hand is 2♦, J♠",2025-02-18T11:02:29.639Z,173987654963903
"Player stacks: #1 ""danyo @ PzfvjptKMt"" (614.21) | #4 ""rondog @ UjXI8JaXcs"" (272.91) | #5 ""Que @ GRZ2bZkObS"" (479.80) | #7 ""Eddy @ yNLyma14Bn"" (1015.77) | #8 ""KY @ IWYeFfhEu_"" (180.24) | #10 ""jin @ Uk6-7jEsDG"" (1907.27)",2025-02-18T11:02:29.639Z,173987654963901
"-- starting hand #198 (id: 5c1lk2e17qnr)  (No Limit Texas Hold'em) (dealer: ""rondog @ UjXI8JaXcs"") --",2025-02-18T11:02:29.639Z,173987654963900
"-- ending hand #197 --",2025-02-18T11:02:23.601Z,173987654360103
"""rondog @ UjXI8JaXcs"" shows a 2♠, Q♠.",2025-02-18T11:02:23.601Z,173987654360102
"""Que @ GRZ2bZkObS"" collected 42.94 from pot with Pair, Q's (combination: Q♣, Q♦, 10♦, 8♦, 7♣)",2025-02-18T11:02:23.601Z,173987654360101
"""Que @ GRZ2bZkObS"" shows a Q♣, 7♣.",2025-02-18T11:02:23.601Z,173987654360100
"""Que @ GRZ2bZkObS"" checks",2025-02-18T11:02:22.775Z,173987654277500
"""rondog @ UjXI8JaXcs"" checks",2025-02-18T11:02:21.650Z,173987654165000
"River: 8♦, Q♦, 5♣, 4♥ [10♦]",2025-02-18T11:02:19.622Z,173987653962200
"""Que @ GRZ2bZkObS"" calls 12.88",2025-02-18T11:02:18.804Z,173987653880400
"""rondog @ UjXI8JaXcs"" bets 12.88",2025-02-18T11:02:16.273Z,173987653627300
"Turn: 8♦, Q♦, 5♣ [4♥]",2025-02-18T11:02:11.971Z,173987653197100
"""danyo @ PzfvjptKMt"" folds",2025-02-18T11:02:11.159Z,173987653115900
"""jin @ Uk6-7jEsDG"" folds",2025-02-18T11:02:03.108Z,173987652310800
"""KY @ IWYeFfhEu_"" folds",2025-02-18T11:01:58.853Z,173987651885300
"""Eddy @ yNLyma14Bn"" folds",2025-02-18T11:01:57.830Z,173987651783000
"The admin ""danyo @ PzfvjptKMt"" canceled the game stop on next hand.",2025-02-18T11:01:52.818Z,173987651281800
"""Que @ GRZ2bZkObS"" calls 7.09",2025-02-18T11:01:52.515Z,173987651251500
"""rondog @ UjXI8JaXcs"" bets 7.09",2025-02-18T11:01:51.337Z,173987651133700
"Flop:  [8♦, Q♦, 5♣]",2025-02-18T11:01:43.319Z,173987650331900
"""Que @ GRZ2bZkObS"" checks",2025-02-18T11:01:42.514Z,173987650251400
"""rondog @ UjXI8JaXcs"" calls 0.50",2025-02-18T11:01:41.583Z,173987650158300
"""danyo @ PzfvjptKMt"" calls 0.50",2025-02-18T11:01:40.628Z,173987650062800
"The admin ""danyo @ PzfvjptKMt"" enqueued the game stop on next hand.",2025-02-18T11:01:39.498Z,173987649949800
"""jin @ Uk6-7jEsDG"" calls 0.50",2025-02-18T11:01:35.106Z,173987649510600
"""KY @ IWYeFfhEu_"" calls 0.50",2025-02-18T11:01:33.870Z,173987649387000
"""Eddy @ yNLyma14Bn"" calls 0.50",2025-02-18T11:01:32.436Z,173987649243600
"""Que @ GRZ2bZkObS"" posts a big blind of 0.50",2025-02-18T11:01:29.818Z,173987648981809
"""rondog @ UjXI8JaXcs"" posts a small blind of 0.25",2025-02-18T11:01:29.818Z,173987648981808
"Your hand is 2♠, Q♠",2025-02-18T11:01:29.818Z,173987648981803
"Player stacks: #1 ""danyo @ PzfvjptKMt"" (614.71) | #4 ""rondog @ UjXI8JaXcs"" (293.38) | #5 ""Que @ GRZ2bZkObS"" (457.33) | #7 ""Eddy @ yNLyma14Bn"" (1016.27) | #8 ""KY @ IWYeFfhEu_"" (180.74) | #10 ""jin @ Uk6-7jEsDG"" (1907.77)",2025-02-18T11:01:29.818Z,173987648981801
"-- starting hand #197 (id: rtmjerrlhiuy)  (No Limit Texas Hold'em) (dealer: ""danyo @ PzfvjptKMt"") --",2025-02-18T11:01:29.818Z,173987648981800
"""rondog @ UjXI8JaXcs"" shows a 10♠.",2025-02-18T11:01:25.745Z,173987648574500
"Undealt cards: 9♣, 10♦, 2♠ [7♠, 8♣]",2025-02-18T11:01:24.304Z,173987648430400
"-- ending hand #196 --",2025-02-18T11:01:23.208Z,173987648320802
"""rondog @ UjXI8JaXcs"" collected 9.25 from pot",2025-02-18T11:01:23.208Z,173987648320801
"Uncalled bet of 9.25 returned to ""rondog @ UjXI8JaXcs""",2025-02-18T11:01:23.208Z,173987648320800
"""jin @ Uk6-7jEsDG"" folds",2025-02-18T11:01:22.404Z,173987648240400
"""Eddy @ yNLyma14Bn"" folds",2025-02-18T11:01:21.191Z,173987648119100
"""rondog @ UjXI8JaXcs"" bets 9.25",2025-02-18T11:01:19.459Z,173987647945900
"Flop:  [9♣, 10♦, 2♠]",2025-02-18T11:01:15.844Z,173987647584400
"""rondog @ UjXI8JaXcs"" calls 3.00",2025-02-18T11:01:15.004Z,173987647500400
"""danyo @ PzfvjptKMt"" folds",2025-02-18T11:01:13.202Z,173987647320200
"""jin @ Uk6-7jEsDG"" calls 3.00",2025-02-18T11:01:10.141Z,173987647014100
"""KY @ IWYeFfhEu_"" folds",2025-02-18T11:01:08.671Z,173987646867100
"""Eddy @ yNLyma14Bn"" raises to 3.00",2025-02-18T11:01:05.841Z,173987646584100
"""Que @ GRZ2bZkObS"" folds",2025-02-18T11:01:01.677Z,173987646167700
"""rondog @ UjXI8JaXcs"" posts a big blind of 0.50",2025-02-18T11:01:00.339Z,173987646033909
"""danyo @ PzfvjptKMt"" posts a small blind of 0.25",2025-02-18T11:01:00.339Z,173987646033908
"Your hand is Q♦, 10♠",2025-02-18T11:01:00.339Z,173987646033903
"Player stacks: #1 ""danyo @ PzfvjptKMt"" (614.96) | #4 ""rondog @ UjXI8JaXcs"" (287.13) | #5 ""Que @ GRZ2bZkObS"" (457.33) | #7 ""Eddy @ yNLyma14Bn"" (1019.27) | #8 ""KY @ IWYeFfhEu_"" (180.74) | #10 ""jin @ Uk6-7jEsDG"" (1910.77)",2025-02-18T11:01:00.339Z,173987646033901
"-- starting hand #196 (id: pr8rsjqtte4k)  (No Limit Texas Hold'em) (dealer: ""jin @ Uk6-7jEsDG"") --",2025-02-18T11:01:00.339Z,173987646033900
"-- ending hand #195 --",2025-02-18T11:00:54.333Z,173987645433304
"""jin @ Uk6-7jEsDG"" collected 3.00 from pot with Two Pair, 10's & 8's (combination: 10♦, 10♥, 8♠, 8♣, A♣)",2025-02-18T11:00:54.333Z,173987645433303
"""jin @ Uk6-7jEsDG"" shows a 10♦, 3♣.",2025-02-18T11:00:54.333Z,173987645433302
"""KY @ IWYeFfhEu_"" collected 3.00 from pot with Two Pair, 10's & 8's (combination: 10♠, 10♥, 8♠, 8♣, A♣)",2025-02-18T11:00:54.333Z,173987645433301
"""KY @ IWYeFfhEu_"" shows a 10♠, 5♠.",2025-02-18T11:00:54.333Z,173987645433300
"""KY @ IWYeFfhEu_"" calls 0.50",2025-02-18T11:00:53.517Z,173987645351700
"""Que @ GRZ2bZkObS"" folds",2025-02-18T11:00:52.517Z,173987645251700
"""jin @ Uk6-7jEsDG"" bets 0.50",2025-02-18T11:00:51.309Z,173987645130900
"River: 10♥, 8♠, A♣, Q♦ [8♣]",2025-02-18T11:00:49.325Z,173987644932500
"""KY @ IWYeFfhEu_"" calls 0.50",2025-02-18T11:00:48.505Z,173987644850500
"""Que @ GRZ2bZkObS"" calls 0.50",2025-02-18T11:00:47.510Z,173987644751000
"""jin @ Uk6-7jEsDG"" bets 0.50",2025-02-18T11:00:45.301Z,173987644530100
"Turn: 10♥, 8♠, A♣ [Q♦]",2025-02-18T11:00:44.275Z,173987644427500
"""KY @ IWYeFfhEu_"" calls 0.50",2025-02-18T11:00:43.472Z,173987644347200
"""Que @ GRZ2bZkObS"" calls 0.50",2025-02-18T11:00:38.698Z,173987643869800
"""danyo @ PzfvjptKMt"" folds",2025-02-18T11:00:37.753Z,173987643775300
"""jin @ Uk6-7jEsDG"" bets 0.50",2025-02-18T11:00:33.716Z,173987643371600
"Flop:  [10♥, 8♠, A♣]",2025-02-18T11:00:32.332Z,173987643233200
"""danyo @ PzfvjptKMt"" checks",2025-02-18T11:00:31.491Z,173987643149100
"""jin @ Uk6-7jEsDG"" calls 0.50",2025-02-18T11:00:30.100Z,173987643010000
"""KY @ IWYeFfhEu_"" calls 0.50",2025-02-18T11:00:28.943Z,173987642894300
"""Eddy @ yNLyma14Bn"" folds",2025-02-18T11:00:27.971Z,173987642797100
"""Que @ GRZ2bZkObS"" calls 0.50",2025-02-18T11:00:27.043Z,173987642704300
"""rondog @ UjXI8JaXcs"" folds",2025-02-18T11:00:26.070Z,173987642607000
"""danyo @ PzfvjptKMt"" posts a big blind of 0.50",2025-02-18T11:00:24.470Z,173987642447009
"""jin @ Uk6-7jEsDG"" posts a small blind of 0.25",2025-02-18T11:00:24.470Z,173987642447008
"Your hand is 4♥, 6♠",2025-02-18T11:00:24.470Z,173987642447003
"Player stacks: #1 ""danyo @ PzfvjptKMt"" (615.46) | #4 ""rondog @ UjXI8JaXcs"" (287.13) | #5 ""Que @ GRZ2bZkObS"" (458.83) | #7 ""Eddy @ yNLyma14Bn"" (1019.27) | #8 ""KY @ IWYeFfhEu_"" (179.74) | #10 ""jin @ Uk6-7jEsDG"" (1909.77)",2025-02-18T11:00:24.470Z,173987642447001
"-- starting hand #195 (id: g6n8ajp0nwdh)  (No Limit Texas Hold'em) (dealer: ""KY @ IWYeFfhEu_"") --",2025-02-18T11:00:24.470Z,173987642447000
"""danyo @ PzfvjptKMt"" shows a Q♥.",2025-02-18T11:00:20.951Z,173987642095100
"""Eddy @ yNLyma14Bn"" shows a 2♦, 8♥.",2025-02-18T11:00:20.702Z,173987642070200
"-- ending hand #194 --",2025-02-18T11:00:20.113Z,173987642011302
"""Que @ GRZ2bZkObS"" collected 12.00 from pot",2025-02-18T11:00:20.113Z,173987642011301
"Uncalled bet of 9.00 returned to ""Que @ GRZ2bZkObS""",2025-02-18T11:00:20.113Z,173987642011300
"""jin @ Uk6-7jEsDG"" folds",2025-02-18T11:00:19.281Z,173987641928100
"""Eddy @ yNLyma14Bn"" folds",2025-02-18T11:00:16.995Z,173987641699500
"""Que @ GRZ2bZkObS"" raises to 9.50",2025-02-18T11:00:10.509Z,173987641050900
"""jin @ Uk6-7jEsDG"" bets 0.50",2025-02-18T11:00:07.208Z,173987640720800
"River: 3♦, 9♠, J♥, K♣ [2♠]",2025-02-18T11:00:06.315Z,173987640631500
"""Que @ GRZ2bZkObS"" calls 1.00",2025-02-18T11:00:05.502Z,173987640550200
"""jin @ Uk6-7jEsDG"" calls 1.00",2025-02-18T11:00:03.901Z,173987640390100
"""Eddy @ yNLyma14Bn"" raises to 1.00",2025-02-18T11:00:02.710Z,173987640271000
"""Que @ GRZ2bZkObS"" calls 0.50",2025-02-18T11:00:00.503Z,173987640050300
"""jin @ Uk6-7jEsDG"" bets 0.50",2025-02-18T10:59:55.240Z,173987639524000
"Turn: 3♦, 9♠, J♥ [K♣]",2025-02-18T10:59:54.397Z,173987639439700
"""Que @ GRZ2bZkObS"" calls 1.00",2025-02-18T10:59:53.560Z,173987639356000
"""jin @ Uk6-7jEsDG"" calls 1.00",2025-02-18T10:59:52.510Z,173987639251000
"""Eddy @ yNLyma14Bn"" raises to 1.00",2025-02-18T10:59:51.325Z,173987639132500
"""Que @ GRZ2bZkObS"" calls 0.50",2025-02-18T10:59:49.260Z,173987638926000
"""rondog @ UjXI8JaXcs"" folds",2025-02-18T10:59:48.201Z,173987638820100
"""jin @ Uk6-7jEsDG"" bets 0.50",2025-02-18T10:59:45.502Z,173987638550200
"""KY @ IWYeFfhEu_"" folds",2025-02-18T10:59:44.275Z,173987638427500
"Flop:  [3♦, 9♠, J♥]",2025-02-18T10:59:27.216Z,173987636721600
"""Que @ GRZ2bZkObS"" calls 1.00",2025-02-18T10:59:26.358Z,173987636635800
"""rondog @ UjXI8JaXcs"" calls 1.00",2025-02-18T10:59:25.385Z,173987636538500
"""jin @ Uk6-7jEsDG"" calls 1.00",2025-02-18T10:59:22.188Z,173987636218800
"""KY @ IWYeFfhEu_"" calls 1.00",2025-02-18T10:59:14.372Z,173987635437200
"""Eddy @ yNLyma14Bn"" raises to 1.00",2025-02-18T10:59:02.264Z,173987634226400
"""Que @ GRZ2bZkObS"" calls 0.50",2025-02-18T10:59:00.123Z,173987634012300
"""rondog @ UjXI8JaXcs"" calls 0.50",2025-02-18T10:58:59.097Z,173987633909700
"""danyo @ PzfvjptKMt"" folds",2025-02-18T10:58:57.331Z,173987633733100
"""jin @ Uk6-7jEsDG"" posts a big blind of 0.50",2025-02-18T10:58:51.889Z,173987633188909
"""KY @ IWYeFfhEu_"" posts a small blind of 0.25",2025-02-18T10:58:51.889Z,173987633188908
"Your hand is 8♣, 4♣",2025-02-18T10:58:51.889Z,173987633188903
"Player stacks: #1 ""danyo @ PzfvjptKMt"" (615.46) | #4 ""rondog @ UjXI8JaXcs"" (288.13) | #5 ""Que @ GRZ2bZkObS"" (450.33) | #7 ""Eddy @ yNLyma14Bn"" (1022.27) | #8 ""KY @ IWYeFfhEu_"" (180.74) | #10 ""jin @ Uk6-7jEsDG"" (1913.27)",2025-02-18T10:58:51.889Z,173987633188901
"-- starting hand #194 (id: nobsm4hlvpga)  (No Limit Texas Hold'em) (dealer: ""Eddy @ yNLyma14Bn"") --",2025-02-18T10:58:51.889Z,173987633188900
"-- ending hand #193 --",2025-02-18T10:58:45.887Z,173987632588702
"""Eddy @ yNLyma14Bn"" collected 14.50 from pot with Flush, Qc High (combination: Q♣, J♣, 10♣, 8♣, 5♣)",2025-02-18T10:58:45.887Z,173987632588701
"""Eddy @ yNLyma14Bn"" shows a J♥, 5♣.",2025-02-18T10:58:45.887Z,173987632588700
"""rondog @ UjXI8JaXcs"" checks",2025-02-18T10:58:45.041Z,173987632504100
"""jin @ Uk6-7jEsDG"" checks",2025-02-18T10:58:44.104Z,173987632410400
"""Eddy @ yNLyma14Bn"" checks",2025-02-18T10:58:42.323Z,173987632232300
"River: 10♣, J♣, 8♦, Q♣ [8♣]",2025-02-18T10:58:40.215Z,173987632021500
"""jin @ Uk6-7jEsDG"" calls 0.50",2025-02-18T10:58:39.375Z,173987631937500
"""Eddy @ yNLyma14Bn"" calls 0.50",2025-02-18T10:58:38.168Z,173987631816800
"""rondog @ UjXI8JaXcs"" bets 0.50",2025-02-18T10:58:35.735Z,173987631573500
"""jin @ Uk6-7jEsDG"" checks",2025-02-18T10:58:29.187Z,173987630918700
"""Eddy @ yNLyma14Bn"" checks",2025-02-18T10:58:28.033Z,173987630803300
"Turn: 10♣, J♣, 8♦ [Q♣]",2025-02-18T10:58:26.530Z,173987630653000
"""jin @ Uk6-7jEsDG"" calls 3.50",2025-02-18T10:58:25.689Z,173987630568900
"""Eddy @ yNLyma14Bn"" calls 3.50",2025-02-18T10:58:24.526Z,173987630452600
"""Que @ GRZ2bZkObS"" folds",2025-02-18T10:58:23.273Z,173987630327300
"""rondog @ UjXI8JaXcs"" raises to 3.50",2025-02-18T10:58:22.197Z,173987630219700
"""jin @ Uk6-7jEsDG"" calls 0.50",2025-02-18T10:58:14.957Z,173987629495700
"""KY @ IWYeFfhEu_"" folds",2025-02-18T10:58:13.894Z,173987629389400
"""Eddy @ yNLyma14Bn"" bets 0.50",2025-02-18T10:57:54.915Z,173987627491500
"Flop:  [10♣, J♣, 8♦]",2025-02-18T10:57:52.460Z,173987627246000
"""KY @ IWYeFfhEu_"" checks",2025-02-18T10:57:51.656Z,173987627165600
"""Eddy @ yNLyma14Bn"" calls 0.50",2025-02-18T10:57:50.558Z,173987627055800
"""Que @ GRZ2bZkObS"" calls 0.50",2025-02-18T10:57:49.615Z,173987626961500
"""rondog @ UjXI8JaXcs"" calls 0.50",2025-02-18T10:57:48.684Z,173987626868400
"""danyo @ PzfvjptKMt"" folds",2025-02-18T10:57:43.842Z,173987626384200
"""jin @ Uk6-7jEsDG"" calls 0.50",2025-02-18T10:57:40.221Z,173987626022100
"""KY @ IWYeFfhEu_"" posts a big blind of 0.50",2025-02-18T10:57:38.795Z,173987625879509
"""Eddy @ yNLyma14Bn"" posts a small blind of 0.25",2025-02-18T10:57:38.795Z,173987625879508
"Your hand is J♠, 10♦",2025-02-18T10:57:38.795Z,173987625879503
"Player stacks: #1 ""danyo @ PzfvjptKMt"" (615.46) | #4 ""rondog @ UjXI8JaXcs"" (292.63) | #5 ""Que @ GRZ2bZkObS"" (450.83) | #7 ""Eddy @ yNLyma14Bn"" (1012.27) | #8 ""KY @ IWYeFfhEu_"" (181.24) | #10 ""jin @ Uk6-7jEsDG"" (1917.77)",2025-02-18T10:57:38.795Z,173987625879501
"-- starting hand #193 (id: nmjvubddsjud)  (No Limit Texas Hold'em) (dealer: ""Que @ GRZ2bZkObS"") --",2025-02-18T10:57:38.795Z,173987625879500
"""Eddy @ yNLyma14Bn"" shows a 9♣, 3♣.",2025-02-18T10:57:35.775Z,173987625577500
"""rondog @ UjXI8JaXcs"" shows a K♠.",2025-02-18T10:57:35.676Z,173987625567600
"-- ending hand #192 --",2025-02-18T10:57:34.386Z,173987625438602
"""rondog @ UjXI8JaXcs"" collected 23.00 from pot",2025-02-18T10:57:34.386Z,173987625438601
"Uncalled bet of 17.25 returned to ""rondog @ UjXI8JaXcs""",2025-02-18T10:57:34.386Z,173987625438600
"""Que @ GRZ2bZkObS"" folds",2025-02-18T10:57:33.538Z,173987625353800
"""rondog @ UjXI8JaXcs"" bets 17.25",2025-02-18T10:57:25.228Z,173987624522800
"""Que @ GRZ2bZkObS"" checks",2025-02-18T10:57:20.247Z,173987624024700
"River: 8♦, K♣, 10♥, A♠ [Q♠]",2025-02-18T10:57:16.942Z,173987623694200
"""rondog @ UjXI8JaXcs"" checks",2025-02-18T10:57:16.079Z,173987623607900
"""Que @ GRZ2bZkObS"" checks",2025-02-18T10:57:14.492Z,173987623449200
"Turn: 8♦, K♣, 10♥ [A♠]",2025-02-18T10:57:13.059Z,173987623305900
"""jin @ Uk6-7jEsDG"" folds",2025-02-18T10:57:12.217Z,173987623221700
"""Eddy @ yNLyma14Bn"" folds",2025-02-18T10:57:11.172Z,173987623117200
"""Que @ GRZ2bZkObS"" calls 8.00",2025-02-18T10:57:09.736Z,173987622973600
"""rondog @ UjXI8JaXcs"" raises to 8.00",2025-02-18T10:57:08.804Z,173987622880400
"""jin @ Uk6-7jEsDG"" calls 0.50",2025-02-18T10:57:04.055Z,173987622405500
"""Eddy @ yNLyma14Bn"" bets 0.50",2025-02-18T10:57:01.836Z,173987622183600
"""Que @ GRZ2bZkObS"" checks",2025-02-18T10:57:00.335Z,173987622033500
"Flop:  [8♦, K♣, 10♥]",2025-02-18T10:56:57.450Z,173987621745000
"""Que @ GRZ2bZkObS"" calls 1.50",2025-02-18T10:56:56.594Z,173987621659400
"""rondog @ UjXI8JaXcs"" calls 1.50",2025-02-18T10:56:53.598Z,173987621359800
"""jin @ Uk6-7jEsDG"" calls 1.50",2025-02-18T10:56:50.385Z,173987621038500
"""Eddy @ yNLyma14Bn"" raises to 1.50",2025-02-18T10:56:49.142Z,173987620914200
"""Que @ GRZ2bZkObS"" calls 1.00",2025-02-18T10:56:46.530Z,173987620653000
"""rondog @ UjXI8JaXcs"" raises to 1.00",2025-02-18T10:56:43.745Z,173987620374500
"""danyo @ PzfvjptKMt"" folds",2025-02-18T10:56:39.970Z,173987619997000
"""jin @ Uk6-7jEsDG"" calls 0.50",2025-02-18T10:56:37.908Z,173987619790800
"""KY @ IWYeFfhEu_"" folds",2025-02-18T10:56:36.767Z,173987619676700
"""Eddy @ yNLyma14Bn"" posts a big blind of 0.50",2025-02-18T10:56:30.140Z,173987619014009
"""Que @ GRZ2bZkObS"" posts a small blind of 0.25",2025-02-18T10:56:30.140Z,173987619014008
"Your hand is K♠, J♥",2025-02-18T10:56:30.140Z,173987619014003
"Player stacks: #1 ""danyo @ PzfvjptKMt"" (615.46) | #4 ""rondog @ UjXI8JaXcs"" (279.13) | #5 ""Que @ GRZ2bZkObS"" (460.33) | #7 ""Eddy @ yNLyma14Bn"" (1014.27) | #8 ""KY @ IWYeFfhEu_"" (181.24) | #10 ""jin @ Uk6-7jEsDG"" (1919.77)",2025-02-18T10:56:30.140Z,173987619014001
"-- starting hand #192 (id: nm3qnxutqzpz)  (No Limit Texas Hold'em) (dealer: ""rondog @ UjXI8JaXcs"") --",2025-02-18T10:56:30.140Z,173987619014000
"""jin @ Uk6-7jEsDG"" shows a 3♥, A♣.",2025-02-18T10:56:28.732Z,173987618873200
"-- ending hand #191 --",2025-02-18T10:56:23.599Z,173987618359902
"""danyo @ PzfvjptKMt"" collected 28.75 from pot with Full House, K's over 4's (combination: K♥, K♦, K♣, 4♥, 4♦)",2025-02-18T10:56:23.599Z,173987618359901
"""danyo @ PzfvjptKMt"" shows a K♥, 10♥.",2025-02-18T10:56:23.599Z,173987618359900
"""jin @ Uk6-7jEsDG"" calls 1.00",2025-02-18T10:56:22.784Z,173987618278400
"""danyo @ PzfvjptKMt"" raises to 1.00",2025-02-18T10:56:21.507Z,173987618150700
"""jin @ Uk6-7jEsDG"" bets 0.50",2025-02-18T10:56:18.963Z,173987617896300
"River: K♦, 4♥, K♣, 4♦ [7♠]",2025-02-18T10:56:17.643Z,173987617764300
"""jin @ Uk6-7jEsDG"" calls 0.50",2025-02-18T10:56:16.819Z,173987617681900
"""danyo @ PzfvjptKMt"" bets 0.50",2025-02-18T10:56:15.612Z,173987617561200
"""jin @ Uk6-7jEsDG"" checks",2025-02-18T10:56:12.085Z,173987617208500
"Turn: K♦, 4♥, K♣ [4♦]",2025-02-18T10:56:10.188Z,173987617018800
"""danyo @ PzfvjptKMt"" checks",2025-02-18T10:56:09.322Z,173987616932200
